val_acc,val_loss,epoch,step,train_acc,train_loss,test_acc,test_loss
,,49,1999,0.5339927673339844,0.6763912439346313,,
0.5458562970161438,0.6662030220031738,50,2039,,,,
,,50,2039,0.5411587357521057,0.6660128831863403,,
0.5324208736419678,0.6701619029045105,51,2079,,,,
,,51,2079,0.526162326335907,0.7063235640525818,,
0.5287770628929138,0.6646720767021179,52,2119,,,,
,,52,2119,0.5445821285247803,0.6678808331489563,,
0.5197759866714478,0.6650985479354858,53,2159,,,,
,,53,2159,0.5490766167640686,0.6644864678382874,,
0.5452225208282471,0.6634485721588135,54,2199,,,,
,,54,2199,0.5430207848548889,0.664940595626831,,
0.5231959819793701,0.6831327676773071,55,2239,,,,
,,55,2239,0.5403535962104797,0.6737400889396667,,
0.5307753086090088,0.6637876629829407,56,2279,,,,
,,56,2279,0.5422961711883545,0.6697494387626648,,
0.5319644212722778,0.6711146831512451,57,2319,,,,
,,57,2319,0.542933464050293,0.663786768913269,,
0.5268890261650085,0.6910849809646606,58,2359,,,,
,,58,2359,0.5375784635543823,0.6659963726997375,,
0.5142682790756226,0.7096784710884094,59,2399,,,,
,,59,2399,0.5212306380271912,0.7311050295829773,,
