val_acc,val_loss,epoch,step,train_acc,train_loss,test_acc,test_loss
0.5209043025970459,0.6667357087135315,38,1559,,,,
,,38,1559,0.5277053713798523,0.6692554950714111,,
0.5238588452339172,0.6670246720314026,39,1599,,,,
,,39,1599,0.5276901721954346,0.6739708781242371,,
0.5195340514183044,0.6643618941307068,40,1639,,,,
,,40,1639,0.5334627628326416,0.666090726852417,,
0.4719082713127136,0.9401968121528625,41,1679,,,,
,,41,1679,0.5200508236885071,0.7485848069190979,,
0.5199117064476013,0.7034327983856201,42,1719,,,,
,,42,1719,0.5100304484367371,0.7667636871337891,,
0.5273807644844055,0.6801740527153015,43,1759,,,,
,,43,1759,0.5289412140846252,0.688961923122406,,
0.5167916417121887,0.6757322549819946,44,1799,,,,
,,44,1799,0.529688835144043,0.6782959699630737,,
0.5267877578735352,0.6708843111991882,45,1839,,,,
,,45,1839,0.5357687473297119,0.6718903183937073,,
0.5233592987060547,0.6729089617729187,46,1879,,,,
,,46,1879,0.5307447910308838,0.678398609161377,,
0.5187937021255493,0.6737633347511292,47,1919,,,,
,,47,1919,0.5281265377998352,0.6717801690101624,,
0.5158300995826721,0.7111251354217529,48,1959,,,,
,,48,1959,0.5283454656600952,0.6817235350608826,,
0.5209815502166748,0.6794171929359436,49,1999,,,,
,,49,1999,0.5214259624481201,0.7362457513809204,,
0.5169520378112793,0.6707708835601807,50,2039,,,,
,,50,2039,0.5334947109222412,0.6712394952774048,,
0.5288090705871582,0.6680513024330139,51,2079,,,,
,,51,2079,0.5373035073280334,0.6704814434051514,,
0.5295792818069458,0.6638110876083374,52,2119,,,,
,,52,2119,0.5371295213699341,0.6670693159103394,,
0.5176274180412292,0.6844338178634644,53,2159,,,,
,,53,2159,0.521671712398529,0.7125664353370667,,
0.5278170704841614,0.671288013458252,54,2199,,,,
,,54,2199,0.5333428382873535,0.6871486902236938,,
0.5235342979431152,0.6681426763534546,55,2239,,,,
,,55,2239,0.5375343561172485,0.6690137386322021,,
0.5399529933929443,0.6691283583641052,56,2279,,,,
,,56,2279,0.530876100063324,0.6800891160964966,,
0.51922208070755,0.6652752757072449,57,2319,,,,
,,57,2319,0.5322276949882507,0.6695632934570312,,
0.520423173904419,0.666136622428894,58,2359,,,,
,,58,2359,0.533562958240509,0.665252149105072,,
0.5058708786964417,0.7653073072433472,59,2399,,,,
,,59,2399,0.5254791975021362,0.6822235584259033,,
